title,source_type,content
ICH E9 (R1),Statutory,"The Estimand Framework: Requires precise definition of 'what' is being estimated. Must specify strategies for Intercurrent Events: Treatment-policy, Hypothetical, Composite, While-on-treatment, and Stratum-plus-variable."
ICH E9,Statutory,"Statistical Principles for Clinical Trials: MANDATES pre-specification of primary/secondary endpoints, ITT population usage, and Type I Error (Alpha) control."
21 CFR Part 314.126,Statutory,Defines 'adequate and well-controlled' studies. Failure to provide valid statistical evidence is grounds for a Refusal to File (RTF).
21 CFR Part 312.62,Statutory,"Investigator Recordkeeping: Requires accurate, complete, and verifiable case histories. Statistical validity is void if source docs don't match database."
FDA Multiplicity Guidance,Statutory,Requires Family-Wise Error Rate (FWER) control. Failure to adjust for multiplicity in secondary endpoints is considered data-dredging.
BIMO Compliance,Statutory,"Bioresearch Monitoring: Focuses on data integrity, operational bias, and ensuring a 'Firewall' between unblinded personnel and trial leads."
Rubin (1976) Biometrika,Academic,"Inference and Missing Data: Defines MAR, MCAR, and MNAR. If drop-outs are treatment-related, MAR assumptions are invalid."
Benjamini & Hochberg (1995),Academic,Controlling the False Discovery Rate (FDR): Critical for trials with multiple secondary endpoints or subgroups.
Mehta & Pocock (2011) Stat Med,Academic,Adaptive Designs: The 'Promising Zone' logic for Sample Size Re-estimation (SSR) without statistical penalty.
O'Brien & Fleming (1979),Academic,Group Sequential Designs: Alpha-spending functions to allow interim looks without inflating Type I Error.
Akacha et al. (2017),Academic,Estimands in practice: Standardizes the handling of rescue medication and treatment discontinuation in longitudinal models.
Rothwell (2005) Lancet,Academic,External Validity: Warning against 'Sanitized' trial populations that don't represent real-world clinical practice.
Rosenbaum & Rubin (1983),Academic,Propensity Scoring: Required for causal inference when analyzing non-randomized treatment switches.
Rule of Parsimony,Architect,Minimize exclusion criteria to maximize generalizability. Prioritize clinical endpoints over surrogates.
HITL Verification Protocol,Architect,"Mandatory Gates: G-01 Feasibility, G-02 Risk Appetite, G-03 Ethics, G-04 MCID Assumptions."
